student_id,institution,program_id,country_home,country_host,cohort_year,subject_field,study_level,study_mode,gender,age,marital_status,language_proficiency,teaching_style_difference,cultural_distance,support_program,participates_in_buddy_program,participates_in_language_course,works_while_studying,work_hours_per_week,scholarship_status,entry_gpa,gpa_sem1,gpa_sem2,gpa_prev,credits_attempted_sem1,credits_earned_sem1,credits_attempted_sem2,credits_earned_sem2,failed_courses_sem1,failed_courses_sem2,attendance_rate,mean_weekly_engagement,std_weekly_engagement,low_engagement_weeks,engagement_trend,avg_assignment_score,avg_exam_score,late_submission_rate,missing_assignments_count,gpa_sem3,success_label,risk_category,p_success_proxy
S100213,Latvia_College_C,BUS,India,Latvia,2023,Computer Science,Master,Full-time,Female,27,Single,1,High,0.6,0,1,1,0,0,None,4.77,5.09,4.46,4.77,31,28,33,30,1,1,0.302,0.108,0.073,36,0.089,0.0,0.0,0.56,4,3.95,0,Very High Risk,0.374
S100214,Business_School_E,ENG,India,Latvia,2023,Computer Science,Master,Full-time,Female,35,Married,1,High,0.6,1,1,1,1,21,Partial,8.39,8.8,8.53,8.66,34,34,26,26,0,0,0.943,0.853,0.095,0,-0.171,75.1,71.5,0.303,0,8.94,1,Very Likely to Succeed,0.971
S100215,Latvia_College_C,LAW,USA,Latvia,2021,Social Sciences,Master,Full-time,Male,33,Single,3,Medium,0.3,1,1,0,0,0,None,7.65,8.06,7.4,7.73,25,22,22,16,1,2,0.905,0.807,0.125,0,0.343,55.2,56.1,0.147,1,8.4,1,Very Likely to Succeed,0.991
S100216,Latvia_College_C,MIS,Vietnam,Latvia,2019,Social Sciences,Bachelor,Full-time,Female,19,Single,1,High,0.6,0,1,1,1,12,None,7.76,8.56,8.16,8.36,31,25,28,28,2,0,0.773,0.642,0.138,0,-0.292,92.6,77.0,0.542,4,8.38,1,Moderate Risk,0.773
S100217,Latvia_College_C,DATA,India,Latvia,2020,Medicine,Master,Part-time,Male,27,Single,3,High,0.6,0,1,1,1,10,Full,6.01,5.82,5.74,5.78,35,32,26,26,1,0,0.664,0.513,0.071,0,0.027,47.8,18.6,0.32,1,5.86,0,Moderate Risk,0.682
S100218,Business_School_E,LAW,Latvia,Latvia,2019,Business,Master,Full-time,Male,29,Single,3,Low,0.1,0,0,1,0,0,Full,6.81,7.52,7.55,7.54,31,31,31,28,0,1,0.651,0.502,0.137,1,-0.349,51.5,51.1,0.186,1,7.52,1,Very Likely to Succeed,0.886
S100219,Business_School_E,DATA,India,Latvia,2018,Humanities,Bachelor,Full-time,Female,35,Single,3,High,0.6,0,1,0,0,0,None,7.07,6.78,6.7,6.74,26,26,20,17,0,1,0.575,0.42,0.071,2,-0.06,54.2,54.5,0.595,2,6.8,1,High Risk,0.629
S100220,Tech_Institute_D,ENG,Brazil,Latvia,2019,Humanities,Bachelor,Full-time,Female,37,Single,4,Medium,0.35,0,0,0,0,0,Full,7.76,7.61,7.65,7.63,29,29,33,33,0,0,0.863,0.737,0.133,0,0.358,81.6,100.0,0.278,1,7.26,1,Very Likely to Succeed,0.933
S100221,Latvia_College_C,MED,USA,Latvia,2018,Social Sciences,Bachelor,Part-time,Female,30,Married,3,Medium,0.3,0,0,0,1,13,Full,6.46,6.48,6.67,6.57,20,20,34,34,0,0,0.524,0.355,0.077,10,0.005,32.5,42.8,0.327,0,5.85,0,Moderate Risk,0.706
S100222,Latvia_Uni_B,MIS,India,Latvia,2022,Information Systems,Bachelor,Full-time,Male,35,Single,1,High,0.6,1,0,1,0,0,None,6.89,6.9,7.02,6.96,26,23,22,22,1,0,0.722,0.571,0.205,4,0.6,22.9,19.9,0.282,1,6.75,1,Moderate Risk,0.809
S100223,Business_School_E,DATA,Pakistan,Latvia,2019,Medicine,Bachelor,Full-time,Male,18,Single,2,High,0.6,1,1,1,1,10,None,5.29,5.7,6.26,5.98,33,30,20,17,1,1,0.584,0.421,0.079,2,-0.186,32.3,0.0,0.317,1,5.17,0,Moderate Risk,0.758
S100224,Latvia_Uni_B,DATA,South Korea,Latvia,2020,Humanities,Bachelor,Full-time,Male,18,Single,2,High,0.6,1,0,1,0,0,None,6.75,6.58,6.81,6.7,23,20,31,31,1,0,0.921,0.806,0.065,0,0.124,78.7,84.9,0.225,0,6.31,1,Very Likely to Succeed,0.922
S100225,Latvia_College_C,MED,Canada,Latvia,2020,Computer Science,Master,Full-time,Female,36,Single,2,Medium,0.3,1,0,1,1,21,None,7.46,7.58,8.8,8.19,30,30,20,20,0,0,0.943,0.876,0.122,0,0.275,69.9,43.5,0.124,0,8.85,1,Very Likely to Succeed,1.0
S100226,Latvia_Uni_A,DATA,Bangladesh,Latvia,2019,Social Sciences,Bachelor,Full-time,Male,35,Married,2,High,0.6,0,1,1,1,15,None,6.23,6.41,7.07,6.74,24,24,29,23,0,2,0.468,0.284,0.125,22,0.328,31.2,11.8,0.512,1,7.06,0,High Risk,0.618
S100227,Latvia_Uni_B,DATA,Brazil,Latvia,2020,Computer Science,Master,Full-time,Male,28,Single,2,Medium,0.35,0,0,1,1,19,None,6.79,7.08,7.15,7.12,22,16,28,28,2,0,0.499,0.336,0.177,14,-0.441,43.2,54.5,0.562,1,6.91,1,Moderate Risk,0.724
S100228,Latvia_Uni_B,BUS,France,Latvia,2023,Business,Master,Full-time,Male,28,Single,5,Low,0.1,0,0,1,0,0,Partial,7.1,7.55,7.82,7.69,24,24,30,30,0,0,0.739,0.595,0.104,0,-0.221,42.1,37.5,0.145,0,7.86,1,Very Likely to Succeed,0.924
S100229,Latvia_Uni_B,ENG,South Korea,Latvia,2022,Engineering,Master,Full-time,Other,19,Single,2,High,0.6,0,1,1,1,25,None,6.66,6.46,6.4,6.43,24,24,28,22,0,2,0.571,0.42,0.141,10,-0.385,26.4,19.2,0.438,4,5.79,0,High Risk,0.578
S100230,Latvia_College_C,BUS,Germany,Latvia,2022,Engineering,Bachelor,Part-time,Female,35,Single,5,Low,0.1,0,1,0,0,0,None,6.87,7.07,6.93,7.0,29,29,25,25,0,0,0.957,0.852,0.083,0,-0.15,64.5,39.3,0.0,2,7.77,1,Very Likely to Succeed,0.955
S100231,Latvia_Uni_A,BUS,Germany,Latvia,2021,Business,Master,Full-time,Male,21,Other,3,Low,0.1,0,0,0,0,0,None,7.05,7.01,7.13,7.07,20,17,20,17,1,1,0.585,0.434,0.077,3,-0.113,38.1,32.0,0.325,1,7.15,1,Moderate Risk,0.835
S100232,Tech_Institute_D,BUS,Latvia,Latvia,2020,Information Systems,Master,Full-time,Male,34,Single,5,Low,0.1,0,0,0,0,0,Full,6.37,6.29,6.26,6.28,30,30,30,27,0,1,0.72,0.585,0.097,0,-0.261,63.9,52.4,0.287,0,6.1,1,Moderate Risk,0.827
S100233,Latvia_College_C,LAW,South Korea,Latvia,2021,Medicine,Bachelor,Part-time,Male,37,Single,3,High,0.6,1,1,0,0,0,None,6.11,6.24,6.65,6.45,21,21,23,20,0,1,0.737,0.604,0.198,1,0.571,60.3,44.6,0.397,1,6.5,1,Moderate Risk,0.814
S100234,Business_School_E,ENG,China,Latvia,2019,Medicine,Bachelor,Full-time,Male,19,Single,2,High,0.6,1,1,1,0,0,Full,6.69,7.25,7.05,7.15,23,20,20,20,1,0,0.807,0.675,0.07,0,0.087,37.0,38.4,0.219,0,7.69,1,Very Likely to Succeed,0.913
S100235,Latvia_Uni_A,BUS,India,Latvia,2022,Information Systems,Master,Full-time,Female,34,Married,3,High,0.6,0,1,1,0,0,None,7.71,7.17,7.04,7.1,27,24,23,23,1,0,0.764,0.64,0.098,0,-0.172,68.1,58.0,0.367,1,7.09,1,Moderate Risk,0.809
S100236,Latvia_Uni_B,BUS,South Korea,Latvia,2023,Medicine,Master,Full-time,Male,33,Single,2,High,0.6,0,0,1,0,0,Full,6.05,5.78,6.07,5.93,31,28,30,27,1,1,0.35,0.175,0.085,31,0.114,40.3,26.1,0.593,4,5.75,0,High Risk,0.531
S100237,Business_School_E,BUS,Canada,Latvia,2023,Social Sciences,Bachelor,Full-time,Other,18,Single,2,Medium,0.3,0,0,0,0,0,Partial,7.42,7.91,7.53,7.72,33,27,32,32,2,0,0.739,0.601,0.13,0,-0.363,74.3,77.9,0.35,3,7.95,1,Moderate Risk,0.796
S100238,Tech_Institute_D,LAW,Sri Lanka,Latvia,2019,Information Systems,Bachelor,Full-time,Other,22,Single,2,High,0.6,1,1,1,0,0,None,7.29,7.83,8.63,8.23,21,21,34,28,0,2,0.873,0.743,0.063,0,0.1,57.1,46.0,0.179,2,8.55,1,Very Likely to Succeed,1.0
S100239,Business_School_E,MIS,South Korea,Latvia,2019,Medicine,Bachelor,Full-time,Female,24,Single,1,High,0.6,0,1,1,1,24,Full,5.04,5.01,5.33,5.17,30,30,34,31,0,1,0.303,0.112,0.071,36,-0.141,0.0,0.0,0.616,2,5.45,0,Very High Risk,0.348
S100240,Latvia_College_C,CS,India,Latvia,2022,Humanities,Master,Full-time,Male,38,Single,2,High,0.6,1,0,0,1,28,None,6.18,5.86,5.11,5.48,31,31,26,23,0,1,0.544,0.38,0.083,7,-0.172,23.6,24.7,0.396,1,5.67,0,High Risk,0.545
S100241,Latvia_Uni_B,ENG,Ghana,Latvia,2021,Computer Science,Bachelor,Full-time,Female,34,Single,2,High,0.7673294055054862,0,0,1,0,0,None,6.07,7.09,6.95,7.02,23,23,24,24,0,0,0.675,0.528,0.055,0,0.06,48.3,43.6,0.265,2,6.57,1,High Risk,0.649
S100242,Business_School_E,LAW,Kenya,Latvia,2021,Information Systems,Bachelor,Full-time,Male,30,Single,3,High,0.7974693481933278,1,1,0,0,0,Partial,7.81,8.34,8.28,8.31,33,30,30,30,1,0,0.937,0.859,0.111,0,0.289,73.5,65.5,0.231,0,7.89,1,Very Likely to Succeed,0.944
S100243,Latvia_College_C,ENG,Vietnam,Latvia,2022,Humanities,Master,Full-time,Male,28,Single,2,High,0.6,0,1,1,0,0,None,6.21,5.95,6.11,6.03,24,24,32,32,0,0,0.62,0.468,0.074,1,0.046,40.1,30.5,0.521,2,5.59,0,High Risk,0.626
S100244,Business_School_E,MED,China,Latvia,2020,Medicine,Bachelor,Full-time,Male,27,Single,1,High,0.6,1,0,0,1,26,None,5.8,6.08,6.4,6.24,23,20,32,29,1,1,0.343,0.165,0.143,30,0.437,5.1,0.0,0.671,2,6.26,0,High Risk,0.483
S100245,Tech_Institute_D,ENG,USA,Latvia,2023,Engineering,Bachelor,Full-time,Other,31,Single,4,Medium,0.3,1,0,0,1,21,Partial,7.12,8.2,7.8,8.0,34,34,35,35,0,0,0.789,0.654,0.071,0,0.006,56.1,58.5,0.268,2,8.66,1,Very Likely to Succeed,0.963
S100246,Latvia_Uni_B,CS,Brazil,Latvia,2022,Medicine,Bachelor,Full-time,Female,23,Single,3,Medium,0.35,1,0,0,1,23,Partial,5.14,4.94,4.3,4.62,22,22,28,28,0,0,0.476,0.314,0.086,18,0.135,0.0,0.0,0.219,1,5.89,0,High Risk,0.636
S100247,Business_School_E,MED,Vietnam,Latvia,2021,Information Systems,Bachelor,Full-time,Female,33,Single,2,High,0.6,1,0,0,1,17,Partial,7.28,6.65,6.94,6.8,25,16,23,20,3,1,0.684,0.56,0.083,0,0.075,49.9,38.3,0.311,1,7.51,1,Moderate Risk,0.752
S100248,Tech_Institute_D,CS,China,Latvia,2021,Engineering,Bachelor,Full-time,Male,18,Single,2,High,0.6,1,0,1,1,29,Partial,5.02,4.98,4.96,4.97,26,23,26,23,1,1,0.57,0.411,0.083,3,0.099,0.0,3.3,0.259,1,5.25,0,High Risk,0.604
S100249,Latvia_Uni_A,DATA,Latvia,Latvia,2021,Engineering,Master,Full-time,Female,37,Single,5,Low,0.1,0,0,0,0,0,Full,5.89,7.03,7.13,7.08,23,20,20,14,1,2,0.915,0.822,0.11,0,0.3,47.7,49.3,0.017,1,7.95,1,Very Likely to Succeed,0.952
S100250,Tech_Institute_D,CS,Bangladesh,Latvia,2023,Information Systems,Bachelor,Full-time,Male,39,Single,2,High,0.6,0,1,0,1,17,None,5.82,5.84,6.24,6.04,28,16,28,28,4,0,0.511,0.356,0.082,13,-0.112,34.3,6.6,0.551,2,5.93,0,High Risk,0.491
S100251,Tech_Institute_D,MED,Brazil,Latvia,2022,Medicine,Bachelor,Full-time,Female,30,Single,2,Medium,0.35,0,1,0,0,0,None,5.68,6.36,5.63,5.99,29,29,25,22,0,1,0.332,0.134,0.095,33,-0.147,17.1,12.2,0.652,2,5.89,0,High Risk,0.523
S100252,Business_School_E,ENG,USA,Latvia,2021,Humanities,Bachelor,Part-time,Male,25,Single,3,Medium,0.3,0,0,1,0,0,Partial,8.29,8.86,9.11,8.98,28,28,21,21,0,0,0.975,0.882,0.067,0,-0.023,95.8,82.4,0.147,1,9.35,1,Very Likely to Succeed,1.0
S100253,Tech_Institute_D,CS,Nigeria,Latvia,2021,Computer Science,Master,Part-time,Male,31,Married,3,High,0.7145948647488796,1,0,0,0,0,None,7.75,8.03,7.93,7.98,21,18,25,25,1,0,0.619,0.463,0.076,0,0.114,47.3,55.5,0.447,2,7.71,1,Moderate Risk,0.833
S100254,Latvia_Uni_B,MIS,France,Latvia,2018,Humanities,Bachelor,Full-time,Female,32,Single,4,Low,0.1,0,0,0,0,0,None,6.85,6.89,7.24,7.06,27,27,28,28,0,0,0.882,0.753,0.078,0,-0.129,44.7,28.2,0.0,1,7.47,1,Very Likely to Succeed,0.93
S100255,Latvia_Uni_B,ENG,India,Latvia,2021,Information Systems,Bachelor,Full-time,Other,21,Married,3,High,0.6,1,1,0,1,27,Partial,6.45,6.99,7.3,7.14,32,29,34,31,1,1,0.635,0.477,0.097,2,-0.243,57.2,40.3,0.472,2,6.48,1,Moderate Risk,0.751
S100256,Latvia_Uni_B,MED,Spain,Latvia,2022,Social Sciences,Master,Full-time,Male,27,Single,5,Low,0.1,0,0,0,0,0,Full,7.62,8.02,7.82,7.92,28,28,26,26,0,0,0.827,0.7,0.09,0,-0.205,95.7,92.1,0.313,0,7.95,1,Very Likely to Succeed,0.971
S100257,Latvia_Uni_A,BUS,Kenya,Latvia,2021,Medicine,Bachelor,Part-time,Female,18,Single,1,High,0.7009853266027477,0,0,0,0,0,None,6.48,5.85,6.44,6.14,27,21,20,14,2,2,0.313,0.108,0.091,35,-0.141,6.0,3.0,0.761,3,5.29,0,Very High Risk,0.339
S100258,Latvia_Uni_A,LAW,Nigeria,Latvia,2021,Engineering,Bachelor,Full-time,Male,36,Single,2,High,0.7513045165744674,0,1,0,1,10,Partial,5.64,5.01,5.66,5.33,33,30,21,21,1,0,0.32,0.12,0.086,35,0.222,0.0,0.0,0.68,3,4.84,0,Very High Risk,0.33
S100259,Business_School_E,MIS,Sri Lanka,Latvia,2021,Engineering,Bachelor,Full-time,Female,21,Single,2,High,0.6,1,0,1,0,0,None,6.38,7.19,7.69,7.44,20,14,25,25,2,0,0.584,0.431,0.083,2,-0.142,42.1,37.9,0.368,2,7.66,1,Very Likely to Succeed,0.858
S100260,Latvia_College_C,ENG,Canada,Latvia,2018,Information Systems,Master,Full-time,Female,34,Single,2,Medium,0.3,0,1,1,0,0,None,7.73,7.93,8.15,8.04,25,22,34,31,1,1,0.842,0.696,0.085,0,0.191,58.5,56.5,0.254,1,8.35,1,Very Likely to Succeed,0.936
S100261,Latvia_Uni_A,DATA,Pakistan,Latvia,2021,Business,Bachelor,Full-time,Other,35,Single,1,High,0.6,0,0,1,0,0,None,7.22,6.71,6.79,6.75,34,31,34,28,1,2,0.547,0.396,0.056,2,-0.022,60.0,39.5,0.567,2,6.01,0,High Risk,0.592
S100262,Latvia_College_C,CS,Sri Lanka,Latvia,2020,Medicine,Bachelor,Part-time,Other,20,Other,2,High,0.6,0,0,1,1,12,Partial,7.69,7.76,7.06,7.41,24,24,28,25,0,1,0.608,0.453,0.087,2,-0.169,47.4,52.8,0.431,3,6.74,1,Moderate Risk,0.713
S100263,Tech_Institute_D,CS,South Korea,Latvia,2023,Social Sciences,Bachelor,Full-time,Male,29,Married,1,High,0.6,0,1,0,1,10,Partial,7.91,7.8,7.49,7.64,29,29,20,17,0,1,0.431,0.249,0.083,27,-0.067,38.4,46.3,0.685,6,7.89,0,High Risk,0.518
S100264,Tech_Institute_D,CS,South Korea,Latvia,2020,Social Sciences,Bachelor,Part-time,Female,28,Married,1,High,0.6,0,0,0,1,19,Partial,6.68,7.19,7.16,7.17,23,23,20,20,0,0,0.576,0.429,0.083,1,-0.006,62.1,58.4,0.62,2,6.84,0,High Risk,0.516
S100265,Latvia_Uni_A,BUS,South Korea,Latvia,2022,Social Sciences,Bachelor,Full-time,Male,25,Single,1,High,0.6,0,0,1,0,0,None,6.97,6.8,6.34,6.57,33,30,30,21,1,3,0.528,0.351,0.125,14,0.318,34.2,41.9,0.504,1,6.2,0,High Risk,0.567
S100266,Business_School_E,ENG,Bangladesh,Latvia,2018,Medicine,Bachelor,Full-time,Other,37,Single,2,High,0.6,0,0,0,0,0,Partial,6.44,6.54,6.59,6.57,31,25,28,28,2,0,0.34,0.144,0.087,35,-0.199,36.6,22.0,0.69,5,6.66,0,High Risk,0.474
S100267,Latvia_Uni_B,DATA,USA,Latvia,2019,Business,Bachelor,Full-time,Female,36,Single,2,Medium,0.3,0,1,1,0,0,None,7.06,7.3,7.48,7.39,28,28,28,28,0,0,0.726,0.599,0.096,0,0.215,56.7,59.4,0.357,2,7.92,1,Very Likely to Succeed,0.864
S100268,Business_School_E,DATA,Nigeria,Latvia,2021,Business,Bachelor,Full-time,Male,37,Married,2,High,0.7965145013187194,1,0,1,1,15,Partial,6.36,6.74,6.99,6.86,27,27,20,17,0,1,0.591,0.427,0.106,7,0.298,20.6,9.0,0.32,4,7.4,1,Moderate Risk,0.748
S100269,Business_School_E,MIS,Sri Lanka,Latvia,2022,Social Sciences,Bachelor,Full-time,Male,32,Single,2,High,0.6,1,0,0,0,0,None,7.63,8.25,7.86,8.06,29,29,21,21,0,0,0.728,0.584,0.123,0,0.295,58.7,60.2,0.404,2,8.31,1,Very Likely to Succeed,0.856
S100270,Tech_Institute_D,DATA,Vietnam,Latvia,2021,Medicine,Bachelor,Full-time,Other,25,Single,2,High,0.6,0,1,0,1,19,Full,6.85,6.58,6.62,6.6,33,33,20,20,0,0,0.703,0.549,0.072,0,0.103,53.9,41.9,0.383,5,6.45,0,High Risk,0.574
S100271,Latvia_Uni_A,DATA,France,Latvia,2020,Information Systems,Master,Full-time,Female,31,Single,4,Low,0.1,1,0,1,1,23,Partial,8.54,9.52,9.09,9.3,30,30,27,27,0,0,0.987,0.939,0.059,0,-0.065,100.0,90.2,0.064,0,10.0,1,Very Likely to Succeed,1.0
S100272,Business_School_E,MED,Ghana,Latvia,2019,Humanities,Master,Full-time,Female,28,Single,3,High,0.7446020008779972,1,0,0,0,0,None,7.1,6.91,6.57,6.74,30,27,21,18,1,1,0.876,0.762,0.105,0,0.161,72.1,66.9,0.233,3,6.73,1,Moderate Risk,0.829
S100273,Latvia_Uni_B,DATA,France,Latvia,2023,Computer Science,Bachelor,Full-time,Female,29,Single,5,Low,0.1,0,0,0,0,0,Full,7.82,8.31,8.0,8.16,30,30,34,34,0,0,0.956,0.9,0.113,0,0.26,64.7,69.9,0.0,0,7.04,1,Very Likely to Succeed,1.0
S100274,Latvia_Uni_B,CS,Bangladesh,Latvia,2021,Humanities,Master,Full-time,Male,34,Single,1,High,0.6,1,1,0,0,0,Full,5.79,5.59,5.94,5.77,35,35,26,17,0,3,0.295,0.105,0.058,36,-0.051,0.1,0.0,0.689,2,5.78,0,High Risk,0.499
S100275,Tech_Institute_D,ENG,Canada,Latvia,2020,Humanities,Bachelor,Full-time,Male,39,Single,2,Medium,0.3,0,0,0,1,29,None,5.72,5.24,5.53,5.38,21,21,33,33,0,0,0.289,0.107,0.107,32,-0.194,0.0,0.0,0.594,5,4.46,0,High Risk,0.408
S100276,Latvia_College_C,ENG,India,Latvia,2019,Business,Master,Full-time,Female,39,Single,2,High,0.6,0,1,0,0,0,Partial,7.75,7.7,7.88,7.79,35,32,29,26,1,1,0.708,0.561,0.097,0,-0.242,45.9,39.6,0.352,4,6.98,0,Moderate Risk,0.681
S100277,Tech_Institute_D,BUS,Sri Lanka,Latvia,2022,Engineering,Bachelor,Full-time,Male,28,Married,3,High,0.6,1,1,1,1,15,Partial,5.02,5.09,5.56,5.32,21,18,29,26,1,1,0.884,0.781,0.109,0,0.261,42.3,31.8,0.14,0,5.89,0,Moderate Risk,0.822
S100278,Latvia_Uni_A,MED,Ghana,Latvia,2022,Business,Bachelor,Part-time,Other,36,Single,3,High,0.7343258087938076,1,0,0,1,13,Full,6.29,6.75,6.45,6.6,22,16,34,34,2,0,0.735,0.58,0.082,0,-0.156,63.4,66.9,0.407,0,6.93,1,Moderate Risk,0.769
S100279,Latvia_College_C,BUS,Vietnam,Latvia,2022,Medicine,Master,Full-time,Male,34,Married,3,High,0.6,1,0,1,0,0,None,9.07,9.87,9.83,9.85,22,22,32,32,0,0,0.983,0.913,0.072,0,0.097,100.0,100.0,0.0,1,9.78,1,Very Likely to Succeed,1.0
S100280,Business_School_E,CS,Sri Lanka,Latvia,2019,Information Systems,Bachelor,Part-time,Female,19,Single,2,High,0.6,0,1,0,0,0,None,6.33,6.56,7.2,6.88,24,24,24,21,0,1,0.6,0.447,0.064,0,0.077,62.0,45.6,0.528,5,5.95,0,High Risk,0.586
S100281,Latvia_Uni_B,CS,France,Latvia,2020,Medicine,Master,Full-time,Female,28,Single,3,Low,0.1,1,0,0,1,23,Full,8.37,8.87,8.85,8.86,33,30,20,20,1,0,0.975,0.916,0.091,0,0.206,84.7,94.4,0.0,1,10.0,1,Very Likely to Succeed,1.0
S100282,Latvia_Uni_B,DATA,Latvia,Latvia,2021,Computer Science,Bachelor,Full-time,Male,37,Single,3,Low,0.1,1,0,0,1,15,None,7.89,8.23,8.21,8.22,29,29,34,34,0,0,0.875,0.751,0.111,0,0.217,66.3,89.2,0.247,2,9.16,1,Very Likely to Succeed,1.0
S100283,Latvia_Uni_A,MIS,Latvia,Latvia,2023,Engineering,Bachelor,Full-time,Female,30,Single,4,Low,0.1,0,1,0,0,0,Full,6.07,6.38,6.31,6.35,31,28,35,32,1,1,0.592,0.433,0.08,1,0.191,32.9,11.3,0.274,1,5.92,0,Moderate Risk,0.786
S100284,Latvia_Uni_A,MIS,Latvia,Latvia,2021,Business,Master,Full-time,Male,32,Single,5,Low,0.1,0,1,0,0,0,None,8.55,8.03,8.16,8.09,31,31,32,32,0,0,0.741,0.608,0.129,0,0.351,72.1,49.4,0.142,0,8.5,1,Very Likely to Succeed,0.955
S100285,Latvia_Uni_B,BUS,USA,Latvia,2020,Computer Science,Bachelor,Full-time,Female,34,Single,4,Medium,0.3,0,0,0,1,19,None,7.08,7.28,7.29,7.29,24,24,23,20,0,1,0.727,0.583,0.069,0,0.076,56.0,55.7,0.282,2,7.17,1,Very Likely to Succeed,0.858
S100286,Latvia_Uni_B,CS,USA,Latvia,2019,Humanities,Bachelor,Full-time,Female,25,Single,2,Medium,0.3,0,0,0,1,17,None,4.94,4.65,4.45,4.55,26,26,30,27,0,1,0.306,0.106,0.077,35,0.152,0.0,0.0,0.576,4,4.95,0,High Risk,0.425
S100287,Latvia_College_C,ENG,India,Latvia,2022,Medicine,Bachelor,Part-time,Female,31,Single,1,High,0.6,0,1,1,1,25,Full,6.5,5.99,7.18,6.59,23,23,33,30,0,1,0.584,0.417,0.113,5,-0.267,58.2,40.7,0.547,2,6.02,0,High Risk,0.528
S100288,Latvia_Uni_A,MIS,USA,Latvia,2020,Computer Science,Master,Part-time,Male,32,Single,4,Medium,0.3,0,0,1,0,0,None,7.03,7.0,7.12,7.06,24,15,21,15,3,2,0.843,0.736,0.084,0,0.007,82.7,80.8,0.142,1,7.11,1,Very Likely to Succeed,0.925
S100289,Latvia_College_C,MED,Pakistan,Latvia,2019,Humanities,Master,Full-time,Male,39,Married,2,High,0.6,1,1,0,1,28,Partial,5.96,6.52,6.75,6.63,21,18,35,35,1,0,0.791,0.663,0.091,0,0.251,57.2,58.8,0.354,1,7.25,1,Moderate Risk,0.707
S100290,Business_School_E,DATA,Sri Lanka,Latvia,2022,Computer Science,Bachelor,Full-time,Female,28,Single,2,High,0.6,0,0,1,0,0,Partial,5.75,5.22,6.17,5.7,31,31,20,20,0,0,0.314,0.113,0.075,36,-0.019,20.1,0.0,0.697,4,5.36,0,High Risk,0.497
S100291,Latvia_College_C,DATA,Latvia,Latvia,2018,Business,Bachelor,Full-time,Male,32,Married,4,Low,0.1,0,0,0,0,0,None,7.26,7.29,7.74,7.51,26,23,28,28,1,0,0.953,0.859,0.086,0,-0.153,81.4,46.3,0.006,0,7.46,1,Very Likely to Succeed,0.992
S100292,Latvia_College_C,MIS,Latvia,Latvia,2018,Social Sciences,Bachelor,Part-time,Male,38,Single,5,Low,0.1,0,1,0,0,0,Full,7.64,8.12,7.43,7.77,28,28,27,24,0,1,0.961,0.901,0.088,0,0.198,77.3,81.5,0.037,1,8.28,1,Very Likely to Succeed,1.0
S100293,Tech_Institute_D,LAW,China,Latvia,2020,Computer Science,Master,Full-time,Female,33,Single,3,High,0.6,1,1,0,0,0,None,8.92,9.91,9.64,9.78,22,22,30,30,0,0,0.976,0.942,0.066,0,0.066,100.0,68.3,0.136,0,10.0,1,Very Likely to Succeed,1.0
S100294,Tech_Institute_D,CS,USA,Latvia,2021,Engineering,Master,Full-time,Female,19,Married,4,Medium,0.3,0,0,0,1,19,Partial,4.92,4.19,4.0,4.1,30,18,25,22,4,1,0.312,0.113,0.083,35,-0.153,0.0,0.0,0.407,0,3.61,0,High Risk,0.504
S100295,Latvia_Uni_B,DATA,Italy,Latvia,2022,Information Systems,Master,Full-time,Male,28,Single,5,Low,0.1,0,0,0,1,20,None,6.32,6.05,6.05,6.05,21,15,33,33,2,0,0.635,0.463,0.1,2,0.213,41.8,40.7,0.304,1,6.08,1,Moderate Risk,0.776
S100296,Latvia_Uni_A,MED,India,Latvia,2019,Medicine,Bachelor,Part-time,Male,20,Single,1,High,0.6,0,0,1,1,17,Partial,6.63,6.48,6.55,6.51,27,21,28,25,2,1,0.327,0.149,0.114,31,-0.316,24.4,11.0,0.611,5,5.74,0,High Risk,0.49
S100297,Business_School_E,ENG,Sri Lanka,Latvia,2019,Humanities,Bachelor,Full-time,Female,24,Married,3,High,0.6,0,1,1,0,0,None,7.68,7.62,8.01,7.81,33,33,26,23,0,1,0.876,0.748,0.07,0,0.078,62.4,77.7,0.227,2,7.75,1,Very Likely to Succeed,0.889
S100298,Tech_Institute_D,ENG,Pakistan,Latvia,2022,Information Systems,Bachelor,Full-time,Female,39,Single,3,High,0.6,0,0,1,1,13,Partial,6.16,6.19,6.5,6.35,23,23,20,17,0,1,0.606,0.453,0.078,0,0.068,35.4,36.9,0.265,1,6.28,1,Moderate Risk,0.702
S100299,Latvia_College_C,LAW,Kenya,Latvia,2018,Business,Master,Full-time,Other,29,Single,2,High,0.7325469444827112,1,0,0,1,11,None,5.44,6.04,6.32,6.18,26,20,23,17,2,2,0.512,0.342,0.127,14,-0.262,36.7,42.4,0.488,3,5.89,0,High Risk,0.61
S100300,Latvia_Uni_B,LAW,Latvia,Latvia,2023,Engineering,Master,Full-time,Female,24,Single,3,Low,0.1,0,0,1,0,0,Full,6.59,6.52,6.55,6.53,22,22,32,32,0,0,0.727,0.585,0.078,0,0.089,32.7,30.5,0.084,1,6.73,1,Moderate Risk,0.844
S100301,Business_School_E,LAW,Germany,Latvia,2022,Information Systems,Master,Full-time,Female,26,Single,3,Low,0.1,0,1,0,0,0,None,6.76,7.34,7.19,7.27,35,35,23,17,0,2,0.609,0.453,0.118,3,-0.297,47.2,24.7,0.304,1,7.29,1,Very Likely to Succeed,0.854
